ID	e4	e6	e10	e14	eN	mN	latN	adult
CD02896	788	1385	707	1289	4180	9114	3673	1266
CD02897	627	618	547	607	1161	1432	1370	479
CD02898	24	23	69	70	47	35	32	81
CD02899	205	193	155	386	24	31	21	6
CD02900	102	36	398	554	1019	741	1098	2826
CD02901	3751	11154	2371	852	198	334	410	26
CD02902	2895	2955	2381	2505	563	314	538	5277
CD02904	2	9	3	13	21	12	12	23
CD02906	9472	14085	14265	13560	15603	12906	15765	15579
CD02907	30	59	545	484	388	225	306	143
CD02908	586	541	304	385	477	959	422	195
CD02909	2769	3230	1678	1267	2503	3152	2436	259
CD02910	802	1072	2169	6173	8783	11237	11944	7230
CD02911	2209	2791	2513	1471	1529	1021	1780	1898
CD02912	317	235	266	230	433	536	431	98
CD02913	2840	3358	2362	3155	8357	8458	9258	5317
CD02914	339	469	328	206	219	396	264	136
CD02915	1281	1197	1209	992	1887	1890	2352	677
CD02916	2161	2833	2752	1934	3294	4941	3534	1217
CD02917	740	663	600	406	403	446	357	280
CD02918	2290	1298	336	495	1416	947	985	473
CD02919	4	3	3	21	39	19	56	33
CD02920	20943	24916	19338	17618	21323	20203	25248	29505
CD02921	409	309	553	311	267	186	197	288
CD02922	1928	2929	1972	1420	1680	1871	1831	1244
CD02923	21160	24149	5492	22337	11227	13535	24015	29514
CD02924	21	18	12	18	6	0	5	13
CD02925	3245	5831	3860	3830	4390	10554	4241	1240
CD02926	0	1	0	0	3	0	0	13
CD02927	1	0	0	93	154	124	72	0
CD02928	0	0	0	31	2435	4091	3395	1
CD02929	0	0	1	23	483	1102	679	1
CD02930	1	0	1	92	1493	3750	1907	0
CD02931	1	7	8	239	1647	3101	1177	165
CD02932	3	5	3	30	6	12	5	10
CD02934	95	6	10	32	27	12	7	12
CD02935	10	34	32	24	65	50	134	42
CD02936	150	64	55	83	62	35	60	228
CD02937	8	29	17	17	21	31	37	4
CD02938	0	0	0	29	163	85	130	0
CD02941	591	379	484	307	533	644	554	225
CD02942	188	131	33	5	9	4	2	8
CD02943	0	1	0	19	62	10503	2	0
CD02944	20	5	9	6	6	8	0	36
CD02945	490	453	220	159	406	512	408	275
CD02946	2315	1644	1029	999	877	924	1024	1069
CD02947	0	0	1	5	18	4328	2	1
CD02948	1804	1873	1126	848	732	703	823	1206
CD02949	0	0	0	3	3	124	0	347
CD02950	7117	2908	2301	1382	1351	885	1147	4785
CD02951	494	394	376	164	314	299	308	105
CD02952	3	13	0	425	142	20552	25	238
CD02953	687	852	697	627	1084	1409	1428	584
CD02954	1257	2020	2149	1660	782	606	533	2073
CD02955	340	296	182	200	166	291	109	163
CD02956	5	3	2	19	56	66	5	2
CD02957	0	1	0	7	36	6979	2	0
CD02958	13	0	0	5	9	4	2	0
CD02959	163	125	1	1	0	0	0	0
CD02960	214	152	6	5	3	0	0	0
CD02961	199	49	11	10	0	4	0	0
CD02962	17	26	16	7	68	35	42	6
CD02963	2581	128	0	62	0	0	0	0
CD02964	0	0	0	2	18	43	2	0
CD02965	1612	78	1	35	0	0	0	0
CD02966	1781	51	0	53	0	0	2	0
CD02967	2403	118	0	52	3	0	0	0
CD02968	2	1	0	5	3	0	2	0
CD02969	0	0	0	1	107	264	114	0
CD02970	2	1	0	10	113	202	72	0
CD02971	1527	198	74	92	0	0	0	0
CD02972	7364	354	0	151	0	0	5	0
CD02973	15	1	0	2	0	0	0	0
CD02974	5	82	13	136	86	31	12	0
CD02975	0	0	8	0	3	8	9	0
CD02977	1	0	0	0	0	8	53	0
CD02978	2633	108	1	52	0	0	2	0
CD02979	626	60	7	15	3	0	2	0
CD02982	7	6	3	64	113	70	125	114
CD02983	2393	145	1	63	0	0	0	0
CD02984	2	0	0	0	0	0	2	61
CD02985	11	7	165	134	9	0	5	175
CD02986	20	15	374	314	15	8	12	549
CD02987	252	139	406	421	222	182	141	1094
CD02989	8	0	9	32	27	12	5	2
CD02990	119	289	34	8	6	4	9	32
CD02991	23	13	33	67	53	62	93	88
CD02992	73	8	10	52	77	19	35	583
CD02994	19	22	21	59	18	31	39	73
CD02995	3	0	4	1	0	0	0	0
CD02996	68	146	89	62	9	12	9	86
CD02997	2113	2696	1036	1215	1155	1133	1462	617
CD02998	682	844	700	808	1777	3423	4435	3764
CD02999	199	357	529	424	107	74	58	391
CD03000	1	0	0	7	0	4	0	2
CD03001	1029	1466	1027	1441	3821	4130	4966	1495
CD03002	6	2	8	2	3	4	7	1
CD03003	438	915	579	475	711	598	498	306
CD03004	0	0	0	5	3	4	0	3
CD03006	487	347	153	183	421	761	570	814
CD03008	257	189	269	217	412	377	329	288
CD03009	444	691	645	765	542	462	591	702
CD03010	1019	1219	855	763	1259	1145	1402	1057
CD03011	10	17	19	12	18	19	21	19
CD03012	8	7	5	14	6	4	5	7
CD03013	2083	578	515	361	498	431	477	441
CD03014	0	0	0	1	6	8	0	0
CD03015	2024	2469	1027	898	989	776	1251	1269
CD03016	849	2320	879	790	738	1145	864	316
CD03017	46	0	8	6	0	19	2	0
CD03018	224	206	123	150	41	12	19	107
CD03019	10914	40530	495	129	12	27	2	1
CD03020	86	18	5	11	53	66	86	22
CD03021	129	21	0	0	0	0	0	0
CD03022	631	24	8	12	3	12	2	1
CD03023	110	9	7	5	0	0	2	4
CD03024	567	26	5	9	0	0	0	1
CD03025	12	10	1	4	3	4	0	10
CD03026	623	698	427	510	444	248	195	422
CD03027	28	1	0	0	0	0	0	0
CD03028	8	9	6	5	9	4	9	17
CD03029	1663	721	258	281	752	671	649	153
CD03030	561	603	345	359	311	279	473	671
CD03031	250	219	6421	9174	9666	13935	10271	8406
CD03032	2023	3312	1304	2336	9296	19598	8709	2448
CD03033	0	1	0	0	0	0	2	7
CD03034	5	35	2	1	0	0	0	3
CD03035	8040	110	8	10	9	0	2	0
CD03036	2291	566	10	117	3	12	0	0
CD03037	281	570	209	99	3	0	2	3
CD03038	10	6	50	10	18	50	9	11
CD03039	454	61	6	16	0	0	2	2
CD03040	45	8	0	33	305	198	16	1
CD03041	1099	1046	676	488	755	838	844	381
CD03042	37	1	705	1303	480	287	475	609
CD03043	894	1126	647	423	634	753	1047	891
CD03044	2	7	1	2	3	0	0	5
CD03046	803	1410	1203	1018	936	893	1189	817
CD03047	128	90	608	867	1392	1137	2002	2221
CD03049	951	5	0	1	0	0	0	0
CD03051	257	11	0	14	0	0	0	0
CD03052	299	7	0	5	0	0	0	0
CD03053	110	30	0	0	0	0	0	0
CD03054	196	10	0	2	0	0	0	0
CD03055	1556	95	1	27	0	4	0	0
CD03056	220	2	0	2	0	4	0	0
CD03057	675	3	0	1	0	0	0	0
CD03058	71	1	0	1	0	4	0	0
CD03059	752	20	0	12	0	0	0	0
CD03060	37	1	0	0	0	0	0	0
CD03061	445	59	0	10	0	0	0	0
CD03062	92	32	0	0	0	0	0	0
CD03063	278	8	0	5	0	0	0	0
CD03064	136	54	1	0	0	0	0	0
CD03065	317	13	0	5	0	0	0	0
CD03066	2	9	3	2	0	0	0	1
CD03067	4	1	5	4	0	0	0	1
CD03069	8	0	0	0	0	0	0	0
CD03070	434	115	266	522	116	66	86	715
CD03071	6	13	4	806	1348	586	132	11
CD03072	13	37	218	274	234	671	58	92
CD03073	872	1126	540	843	755	606	867	1725
CD03074	365	489	362	302	207	179	195	437
CD03075	307	319	331	293	435	609	542	342
CD03076	3	1	9	3	0	0	0	1
CD03077	2	27	11	4	0	0	0	0
CD03078	0	1	1	10	6	8	2	0
CD03079	6	24	14	31	3	0	0	0
CD03080	23	20	76	36	18	12	5	5
CD03081	366	238	678	400	447	373	236	89
CD03083	58	331	48	112	0	0	0	0
CD03084	322	15	0	5	0	0	0	0
CD03085	90	63	7	4	0	0	0	0
CD03086	76	9	0	5	0	4	0	0
CD03087	616	36	0	16	0	0	0	0
CD03088	41	19	0	0	0	0	0	0
CD03089	377	28	0	10	0	4	0	0
CD03090	186	824	71	50	0	0	0	0
CD03091	18	1	0	0	0	0	0	0
CD03092	45	1	0	1	0	0	0	0
CD03093	154	9	0	3	0	0	2	0
CD03095	3	1	19	42	15	4	12	148
CD03097	0	8	68	21	0	0	0	0
CD03098	42	160	1317	448	0	0	0	1
CD03099	87	38	70	64	33	39	35	82
CD03101	4	0	1	10	9	4	9	8
CD03102	21	18	39	33	9	8	9	35
CD03103	1536	8594	3474	2585	1295	1281	1374	5516
CD03104	5202	9697	11072	4507	1419	920	1402	6100
CD03105	0	2	2	32	3	4	2	8
CD03106	1150	741	364	644	1055	1921	1124	273
CD03107	11	11	2	64	0	0	0	2
CD03108	395	38	39	129	3	19	74	203
CD03109	50	38	51	55	21	27	32	21
CD03110	74	32	11	14	3	4	2	11
CD03111	80	34	23	34	21	19	14	18
CD03112	721	1048	1078	824	1232	1758	2665	3203
CD03113	247	340	154	171	198	279	160	160
CD03114	113	2	0	0	0	0	0	1
CD03115	293	18	0	1	0	0	0	3
CD03118	6	8	3	88	9	0	2	1
CD03121	33	53	5	1	0	0	0	1
CD03123	70	423	7	4	0	0	0	0
CD03124	30	11	3	4	0	0	0	0
CD03125	27	26	8	7	77	78	56	1
CD03126	142	94	79	59	95	97	90	49
CD03127	1460	3346	337	378	0	0	0	0
CD03128	7	3	1	2	0	0	0	0
CD03129	162	16	3	7	0	0	0	0
CD03130	50	14	4	2	0	0	0	1
CD03131	1881	438	309	2178	4132	2818	5332	3742
CD03132	73	135	168	63	33	31	23	175
CD03133	1487	3057	3000	1306	433	400	308	618
CD03135	9	5	5	25	21	27	19	1
CD03136	230	109	188	122	190	241	216	85
CD03137	34	1	211	371	71	47	63	171
CD03138	32	1	42	79	44	27	116	258
CD03139	577	356	720	1795	7409	5880	6368	2761
CD03140	1	0	1	2	12	12	14	3
CD03141	110	42	1198	1075	2195	4704	802	38
CD03142	372	181	199	162	163	144	185	201
CD03143	2	0	19	23	3	4	2	14
CD03144	1	0	16	18	3	8	0	14
CD03145	520	838	590	497	486	446	677	801
CD03146	0	0	0	3	24	39	19	1
CD03147	380	35	6	22	3	4	2	3
CD03148	260	452	572	313	430	423	454	599
CD03149	456	236	118	111	196	206	190	81
CD03150	564	1124	522	663	2835	3439	3256	1281
CD03151	2863	5330	4798	3059	1398	920	1145	2857
CD03153	21	3	0	1	0	0	0	0
CD03155	547	229	41	18	15	27	88	477
CD03156	898	6541	1884	1169	3	0	0	6
CD03157	700	7	0	0	0	0	0	0
CD03158	6	49	1	1	0	4	0	1
CD03159	49	36	188	894	21	50	49	232
CD03160	293	3	0	1	0	0	0	1
CD03161	3902	58	74	102	6	8	9	14
CD03162	253	34	0	2	0	0	0	0
CD03163	410	321	8	10	0	0	0	2
CD03164	2311	103	1	45	6	12	7	32
CD03165	529	11	1	4	33	31	19	3
CD03166	263	1177	992	1981	0	0	0	5
CD03167	77	25	7	2	15	35	44	116
CD03168	335	239	8	6	0	4	0	1
CD03169	279	3	1	1	0	0	0	4
CD03170	164	660	9	57	3	4	5	3
CD03171	101	212	2	92	3	0	0	4
CD03172	218	13	0	6	0	0	0	10
CD03173	932	420	8	40	6	8	7	10
CD03174	220	13	0	5	0	0	2	11
CD03175	15	1	0	1	3	4	2	1
CD03176	167	183	0	3	0	0	0	3
CD03177	280	189	1	1	0	0	0	2
CD03178	439	1	0	0	0	8	0	0
CD03179	16	0	0	0	0	0	0	0
CD03180	283	3	1	1	0	0	0	1
CD03181	440	11	1	3	0	0	0	1
CD03182	36	1	2	2	0	0	0	1
CD03183	644	694	7	8	0	0	0	1
CD03184	198	13	1	2	0	0	0	0
CD03185	0	1	0	3	6	8	0	0
CD03186	0	0	0	15	39	39	14	0
CD03187	135	154	2	6	3	4	0	0
CD03188	326	26	0	7	0	0	0	0
CD03189	1	1	0	2	6	12	2	0
CD03190	185	74	1	6	12	19	16	1
CD03191	154	155	6	4	0	0	0	1
CD03193	3	1	64	33	133	124	174	98
CD03194	3	1	0	6	15	58	16	0
CD03196	316	0	0	5	0	0	0	0
CD03197	7	2	0	6	0	0	0	0
CD03198	41	1	0	2	0	0	0	0
CD03199	8	5	1	63	3	4	2	11
CD03200	121	313	153	193	107	229	81	26
CD03201	0	1	49	5	0	0	0	1
CD03202	25	74	21	36	95	318	158	107
CD03203	7	12	2	3	0	0	0	0
CD03204	10	4	7	12	6	19	19	586
CD03205	1	0	0	1	299	369	176	1
CD03206	210	173	99	77	56	70	74	92
CD03207	117	318	158	318	761	1471	1432	502
CD03208	340	66	251	714	435	147	93	2963
CD03209	49	29	4	1	0	0	0	0
CD03210	198	43	0	10	0	0	0	0
CD03211	547	26	1	10	0	0	2	0
CD03212	426	16	0	9	0	0	0	0
CD03213	1090	740	12	8	0	0	0	0
CD03214	66	45	6	46	89	50	9	0
CD03215	1466	113	1	32	0	0	0	0
CD03216	0	0	1	5	3	4	0	1
CD03217	243	222	204	191	166	252	125	109
CD03218	589	459	250	201	62	47	58	142
CD03219	1340	1242	1473	893	886	594	721	1165
CD03220	1	0	1	20	0	0	0	12
CD03221	1030	1274	1304	583	275	279	287	778
CD03222	65	29	19	38	347	877	276	10
CD03223	17	1	1	20	3	4	2	318
CD03224	184	163	72	49	3	4	5	175
CD03225	153	189	249	230	231	493	311	335
CD03226	0	4	1	77	145	213	2	1
CD03227	525	1173	999	1417	838	990	957	865
CD03228	21	34	7	145	1191	4351	116	39
CD03229	119	28	82	52	3	0	2	13
CD03230	1585	2109	1717	1622	2921	2845	3390	857
CD03231	261	356	360	469	198	194	192	93
CD03232	367	451	276	297	74	47	79	150
CD03233	140	185	717	564	163	78	299	422
CD03236	997	1076	613	696	299	318	294	667
CD03237	2438	10634	5604	4319	415	287	385	2718
CD03238	10	5	1	0	0	0	0	0
CD03239	5998	6101	6268	2891	841	582	844	3834
CD03240	637	666	610	879	1958	5263	2841	739
CD03241	1923	1283	1149	857	741	516	436	703
CD03242	1626	89	4	39	0	0	5	1
CD03243	381	579	522	356	548	505	579	333
CD03244	20	3	1	0	0	0	2	1
CD03245	1184	56	0	22	0	0	0	1
CD03246	28355	40726	961	852	981	524	3833	2322
CD03247	354	500	323	381	776	761	1569	3063
CD03248	11	1	20	228	107	734	118	43
CD03249	1618	3205	4953	1931	2186	1739	1546	1269
CD03250	55	3	515	183	234	229	37	5
CD03251	34	19	0	21	133	85	37	50
CD03252	309	199	369	302	341	198	352	593
CD03253	444	344	388	263	394	392	368	296
CD03254	121	73	104	97	157	182	202	63
CD03255	607	284	647	470	193	82	162	951
CD03256	3334	6007	1	3	3	0	2	2
CD03257	32	11	1	2	0	0	0	0
CD03258	1704	2040	1488	1138	1555	2123	3393	908
CD03259	56	76	137	331	222	144	190	745
CD03260	114	80	118	116	184	194	222	163
CD03261	219	45	4	66	1028	939	225	444
CD03262	433	344	436	323	382	311	403	409
CD03263	2112	1513	172	126	92	85	241	215
CD03264	1377	1058	1310	796	841	629	774	659
CD03265	326	511	124	131	154	264	211	120
CD03266	21	38	82	165	44	19	42	298
CD03267	728	295	265	497	329	179	206	850
CD03268	2445	1624	641	464	258	252	387	362
CD03269	145	156	150	92	133	213	127	59
CD03270	3	2	72	51	9	4	12	91
CD03271	14654	27522	9407	8490	2237	1723	1750	6261
CD03272	3125	3250	3780	1235	261	171	232	1485
CD03273	349	393	515	286	21	23	19	366
CD03274	357	28	19	17	18	19	25	6
CD03275	0	1	0	34	47	70	23	0
CD03276	17	9	43	79	477	598	895	281
CD03277	269	301	418	367	462	644	540	381
CD03278	104	269	24	8	3	0	12	6
CD03279	8	3	19	17	9	0	0	16
CD03280	1259	704	1024	1537	219	237	248	1798
CD03281	711	840	1149	680	201	109	111	850
CD03282	3790	3480	1108	17651	54448	69506	42167	4286
CD03283	146	197	98	232	462	916	644	756
CD03284	403	21	0	7	0	0	0	0
CD03285	694	584	351	282	468	637	429	201
CD03286	173	128	126	103	154	194	148	32
CD03287	162	24	0	11	5249	276	202	770
CD03288	37	3	0	1	358	512	2	1
CD03289	2071	2605	655	473	681	571	688	660
CD03290	6	4	49	95	6	4	7	290
CD03291	638	903	480	490	963	714	584	99
CD03292	1402	2073	1427	1147	975	683	1013	1306
CD03293	293	670	30	237	190	493	81	112
CD03294	3	21	5	6	0	0	0	0
CD03295	4194	6774	7195	3447	1001	606	853	5242
CD03297	1344	1619	1726	1025	1377	1735	1502	1132
CD03298	1707	2051	1003	776	782	606	941	1691
CD03299	645	519	294	242	299	330	327	77
CD03300	386	212	286	207	258	213	276	242
CD03302	1074	1365	1433	938	480	353	470	374
CD03303	1930	3075	1572	2916	6416	14066	7870	7478
CD03304	2912	4936	3523	4357	6464	15561	6248	1746
CD03305	114	50	12	41	77	101	148	137
CD03306	8	1	0	1	0	0	0	1
CD03307	26	57	7	3	3	8	2	4
CD03308	163	338	1936	778	512	377	582	980
CD03309	10	23	697	221	364	190	283	449
CD03310	594	668	743	702	1991	2764	1967	588
CD03311	680	872	994	630	228	163	236	607
CD03312	38	6	1	2	0	0	0	0
CD03313	11	7	121	109	68	50	63	56
CD03314	60	9	176	586	187	1456	234	263
CD03315	91	15	0	7	86	175	5	3
CD03316	56	86	73	81	116	221	121	71
CD03317	4118	3983	2282	2273	1801	1925	2181	2490
CD03318	1422	1442	852	567	418	264	389	1358
CD03319	351	274	656	392	382	349	324	175
CD03320	636	582	637	308	243	147	232	324
CD03321	1	4	5	27	74	182	121	4
CD03322	957	1518	1114	837	741	668	927	977
CD03323	677	849	1015	874	1084	1898	1787	1049
CD03324	1257	1136	938	1527	554	380	862	1530
CD03325	7	2	89	373	640	819	81	51
CD03326	54	20	4	27	41	31	49	109
CD03327	7	5	150	511	382	411	514	302
CD03328	844	2	73	8069	13674	15305	11395	30702
CD03329	173	115	133	103	228	555	396	291
CD03330	309	443	464	313	530	474	538	284
CD03331	263	28	12	24	3	4	5	12
CD03333	65	14	22	194	80	353	109	11
CD03334	641	623	953	998	1123	881	1078	504
CD03335	579	305	131	175	154	225	202	190
CD03336	70	8	2	7	27	85	165	64
CD03337	3889	5802	3789	4231	8268	19695	7812	1052
CD03338	2	1	1	36	12	23	0	0
CD03339	1069	653	585	714	604	508	871	976
CD03340	273	380	413	244	418	512	426	221
CD03341	1321	1447	1783	1001	1416	1269	1319	833
CD03342	1655	1599	410	1177	3756	4130	7925	3786
CD03343	533	938	305	421	3	4	2	4
CD03344	526	640	945	1378	2192	2104	2065	2154
CD03345	563	123	19	31	6	12	7	2
CD03346	657	665	207	570	551	404	739	3106
CD03347	1589	5411	1100	972	1099	737	681	1769
CD03348	4713	4976	3145	2614	3466	2360	3332	8123
CD03349	197	180	199	221	326	629	549	316
CD03350	218	36	11	448	9755	2372	3105	687
CD03351	468	962	180	213	142	82	121	103
CD03353	20	8	643	377	198	147	239	160
CD03354	2494	1768	1735	1621	2068	1227	2306	3236
CD03355	14	142	30	95	83	47	79	109
CD03356	1882	1600	3802	1903	1748	928	1525	2423
CD03357	450	508	681	516	492	470	424	754
CD03358	1237	1775	972	570	874	485	482	122
CD03359	233	180	175	174	311	501	359	194
CD03360	157	875	885	1396	18	256	14	15
CD03361	854	1993	267	668	204	97	137	1743
CD03362	1428	1716	1089	2290	1674	1619	1708	4219
CD03363	1715	2408	5844	2748	3190	1514	2199	3947
CD03364	986	692	644	642	489	268	426	1256
CD03365	3113	1765	470	1574	0	0	0	6
CD03366	163	291	354	187	394	532	477	446
CD03367	137	146	202	140	246	516	297	294
CD03368	3414	4636	4202	2508	2977	3276	2514	1066
CD03369	3919	7011	8087	3607	5353	4541	4060	2484
CD03370	1704	1931	1942	1220	1683	1343	1541	1762
CD03371	23	237	193	112	15	19	2	2
CD03372	9	0	0	2	0	0	0	11
CD03373	201	168	129	110	172	299	227	73
CD03374	365	276	195	167	181	225	271	175
CD03375	571	929	929	746	539	427	285	321
CD03377	7	3	6	194	9	27	14	237
CD03378	320	98	66	877	1049	1180	2563	926
CD03379	20	9	2	2	3	4	5	4
CD03380	927	737	855	564	646	520	586	456
CD03381	152	223	70	617	8615	1067	1963	4149
CD03382	1430	972	731	574	667	675	623	304
CD03383	11	22	18	39	3	4	0	145
CD03384	265	287	154	189	178	159	262	577
CD03385	532	20	0	14	0	0	0	0
CD03386	2609	2089	55	15	0	0	0	1
CD03387	35	8	65	208	0	4	5	213
CD03388	22	1	2	0	0	0	0	1
CD03389	14	1	2	2	0	4	0	1
CD03390	935	51	38	223	3	0	2	3
CD03391	982	910	647	1154	1061	334	501	1440
CD03392	1195	944	62	161	3	0	0	4
CD03393	27	1	2	1	0	0	0	1
CD03394	374	71	20	4	0	0	0	1
CD03395	80	69	5	4	0	0	0	0
CD03396	418	140	127	448	0	0	0	1
CD03397	280	0	0	0	0	0	0	1
CD03398	3464	7680	560	149	0	0	0	0
CD03399	306	4130	171	124	0	0	0	0
CD03400	2164	689	110	22	0	0	0	2
CD03401	897	1065	624	295	412	617	461	488
CD03402	736	435	470	241	101	66	86	312
CD03403	296	371	291	186	261	342	271	232
CD03404	2839	3	2	3	0	0	0	1
CD03405	174	5	0	3	0	0	0	0
CD03406	950	1	1	1	0	0	0	2
CD03407	6	3	2	2	0	0	0	1
CD03408	102	11	2	2	0	0	0	1
CD03409	298	16	0	5	0	0	0	1
CD03410	1372	1103	156	97	0	0	0	0
CD03411	48	5	0	2	0	0	0	0
CD03412	1737	3217	723	1826	3659	3369	2109	5080
CD03413	1221	88	7	25	0	0	2	0
CD03414	204	753	112	567	0	0	0	1
CD03415	146	27	57	207	15	8	14	204
CD03416	4238	473	2	8	0	0	0	0
CD03417	91	13	1	3	0	0	0	0
CD03418	534	1525	366	336	187	190	262	303
CD03419	138	5	2	3	0	0	0	1
CD03420	252	11	2	6	0	0	0	2
CD03421	173	1	0	0	0	0	0	0
CD03422	405	20	1	14	0	0	0	0
CD03423	853	36	0	15	0	0	0	0
CD03424	229	12	0	5	0	0	0	1
CD03425	185	5	0	4	0	0	0	0
CD03426	1041	1869	99	118	0	0	0	0
CD03427	173	7	1	6	0	0	0	1
CD03428	66	7	7	4	0	0	0	5
CD03429	5	3	6	59	6	4	2	61
CD03430	1	0	0	0	9	12	9	4
CD03431	693	881	1203	1304	1849	1719	1921	1898
CD03432	193	208	114	132	204	179	209	136
CD03433	592	318	218	188	127	62	63	37
CD03434	177	278	53	22	15	8	9	20
CD03437	6284	8890	2395	2301	1049	990	1061	992
CD03438	9	71	26	13	6	4	19	27
CD03439	0	0	0	0	0	0	12	0
CD03443	19	51	644	556	942	745	994	257
CD03444	2480	2668	2257	1384	1535	1770	1425	848
CD03445	307	337	328	282	616	1067	494	155
CD03446	400	770	357	349	424	586	535	384
CD03447	1353	1599	1861	795	542	326	355	889
CD03448	119	25	264	194	1407	1250	1666	253
CD03449	1059	790	693	482	776	769	769	398
CD03450	449	533	355	318	450	590	679	377
CD03451	273	998	782	543	148	109	162	455
CD03452	26589	22087	12559	6444	5098	4755	4252	3526
CD03453	15	1	17	6	0	0	0	1
CD03454	335	286	82	114	255	489	264	1653
CD03455	2103	111	0	59	0	0	0	0
CD03456	1	1	0	52	293	640	243	0
CD03457	245	11	0	6	0	0	0	0
CD03458	214	14	0	5	0	0	0	0
CD03459	174	9	0	7	0	0	0	0
CD03460	818	2074	1546	1134	939	679	830	1425
CD03461	1558	5493	2116	1298	998	1009	1641	637
CD03462	168	65	5	3	0	0	0	0
CD03463	40	1	0	2	0	0	0	0
CD03464	360	19	0	11	0	0	0	0
CD03466	562	1282	543	423	412	144	167	2343
CD03467	12843	17445	9693	31529	197379	245348	182614	25713
CD03468	0	0	0	5	3	0	2	0
CD03469	268	16	0	7	0	0	0	0
CD03470	1	0	3	416	1754	3074	772	1
CD03471	3107	5840	5348	3562	3608	2655	3154	3212
CD03472	15	37	15	19	65	147	121	73
CD03473	461	1324	834	558	447	318	287	136
CD03474	10	20	8	5	3	0	2	13
CD03475	3	6	5	3	3	0	0	4
CD03476	24	5	42	167	77	43	60	81
CD03477	30	20	17	15	27	19	16	76
CD03478	515	138	23	5	3	4	2	9
CD03479	16	39	18	19	6	8	9	35
CD03480	27	18	14	26	222	307	192	62
CD03481	1	1416	204	30	0	4	0	1
CD03482	100	135	11	5	0	0	2	1
CD03483	90	31	153	251	47	16	16	68
CD03484	427	576	168	147	258	210	364	257
CD03485	0	0	6	5	0	0	0	1
CD03489	29	92	2	2	0	0	0	1
CD03492	5420	7606	7131	4263	3502	3571	5559	7636
CD03493	300	159	49	140	59	151	60	98
CD03494	8	1	0	29	0	4	0	0
CD03495	1032	1041	2432	3805	1537	753	1138	5330
CD03496	956	782	22	31	3	4	2	1
CD03497	581	75	14	32	3	4	0	1
CD03498	12	16	60	33	83	113	93	23
CD03500	14	0	0	0	0	0	0	0
CD03501	302	78	4	4	0	0	0	1
CD03502	968	1242	749	912	1677	2826	1722	776
CD03503	30	22	9	31	3	0	0	80
CD03505	92	10	0	0	0	0	0	0
CD03506	49	1	1	37	41	23	14	0
CD03507	8	0	0	0	3	8	0	0
CD03508	19	0	0	4	33	27	14	0
CD03509	143	1	0	1	0	0	0	0
CD03510	528	11	0	1	0	0	0	0
CD03511	17	2	0	1	0	0	0	0
CD03512	9	3	0	0	0	0	0	0
CD03513	214	18	2	10	0	0	0	0
CD03516	202	5	0	3	0	4	0	0
CD03517	6	0	0	3	0	0	0	0
CD03518	788	90	0	1	0	0	0	0
CD03519	272	93	2	2	0	0	0	0
CD03520	270	16	0	15	0	0	0	0
CD03521	256	1	2	0	0	0	0	0
CD03522	26	100	27	36	15	8	12	1
CD03523	15	63	21	17	6	0	5	1
CD03525	20	10	9	3	0	0	0	3
CD03526	5	1	1	415	6	8	9	201
CD03527	1	0	0	1	6	4	5	1
CD03528	24	316	308	273	44	39	25	17
CD03529	78	173	199	401	667	613	273	211
CD03530	460	268	369	383	237	264	276	192
CD03531	56	11	53	77	15	12	7	208
CD03532	86	382	202	143	459	885	860	280
CD03533	5324	8610	6818	4979	6882	7887	6662	2271
CD03534	130	127	46	64	24	19	49	42
CD03535	114	30	145	495	95	120	167	1281
CD03536	3182	3809	3818	2674	4648	3971	4322	3360
CD03537	12	13	40	128	74	35	74	141
CD03538	438	272	489	425	889	978	772	569
CD03539	1067	1037	1041	652	1286	1316	1198	535
CD03540	4174	5540	2653	1701	1386	885	1180	4711
CD03541	1535	2202	2757	1411	669	427	670	1871
CD03542	1291	1778	919	702	1007	481	415	159
CD03543	938	487	930	265	3	12	155	1308
CD03544	597	651	484	699	554	691	755	668
CD03545	1009	645	1300	410	89	39	23	56
CD03546	1565	90	2	40	0	0	0	3
CD03547	3593	3899	3370	2575	3190	3633	3210	1196
CD03548	5551	2245	3151	3008	2749	2356	2922	6738
CD03549	23	35	374	1317	2764	2115	1059	153
CD03550	1075	849	1009	843	690	722	700	894
CD03551	581	398	519	340	551	571	572	611
CD03552	29	26	37	211	0	0	0	1
CD03553	4	0	5	1	0	4	0	6
CD03554	639	948	321	1150	1692	3408	2005	2784
CD03555	1	45	2	99	0	0	0	0
CD03556	240	234	452	339	521	1025	591	323
CD03557	2174	2506	2740	1774	3504	3004	2348	1015
CD03558	514	596	810	590	862	928	897	747
CD03559	525	534	1363	945	1235	1071	1261	1642
CD03560	758	950	2325	1494	486	248	322	1634
CD03561	4	1	18	1548	210	2018	39	44
CD03562	601	590	574	391	489	536	619	458
CD03563	910	894	405	366	278	252	410	285
CD03564	3952	7348	3315	3231	3398	2698	3240	4765
CD03565	139	110	114	115	196	377	262	136
CD03566	577	803	628	545	388	287	308	335
CD03567	425	85	84	965	89	47	72	708
CD03568	17	13	8	940	62	66	53	25
CD03569	6299	10801	2304	1887	2151	1607	2206	6584
CD03570	129	287	1021	809	601	361	809	2207
CD03571	206	220	204	447	1443	1265	2025	1309
CD03572	2045	150	152	442	927	718	959	797
CD03573	776	784	1164	1558	2942	3125	2628	5586
CD03574	435	13	31	31	50	62	132	179
